Link,Date,Gamertags
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=848796445&player=shnateman,"2011-11-10 21:31:00","bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=846412226&player=shnateman,"2011-11-07 08:52:00","A Token Asian,BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=846408497&player=shnateman,"2011-11-07 08:43:00","A Token Asian,BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=846404875&player=shnateman,"2011-11-07 08:35:00","A Token Asian,BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842941327&player=shnateman,"2011-11-03 14:13:00","BioticJoker,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842936043&player=shnateman,"2011-11-03 14:07:00","BioticJoker,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842928190&player=shnateman,"2011-11-03 13:57:00","BioticJoker,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842922380&player=shnateman,"2011-11-03 13:50:00","BioticJoker,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842911112&player=shnateman,"2011-11-03 13:36:00","BioticJoker,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842905410&player=shnateman,"2011-11-03 13:28:00","BioticJoker,bigdsdeath79,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=842898537&player=shnateman,"2011-11-03 13:19:00","BioticJoker,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=834334440&player=shnateman,"2011-10-23 12:49:00","A Token Asian,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=834285737&player=shnateman,"2011-10-23 12:08:00","A Token Asian,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=834270707&player=shnateman,"2011-10-23 11:55:00","A Token Asian,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=823724109&player=shnateman,"2011-10-11 02:06:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=823721616&player=shnateman,"2011-10-11 01:50:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778910357&player=shnateman,"2011-08-30 18:37:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778884037&player=shnateman,"2011-08-30 18:19:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778869837&player=shnateman,"2011-08-30 18:10:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778851335&player=shnateman,"2011-08-30 17:58:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778833769&player=shnateman,"2011-08-30 17:46:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778800605&player=shnateman,"2011-08-30 17:24:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778791796&player=shnateman,"2011-08-30 17:18:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778775926&player=shnateman,"2011-08-30 17:07:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778720453&player=shnateman,"2011-08-30 16:30:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773658508&player=shnateman,"2011-08-26 23:39:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773648355&player=shnateman,"2011-08-26 23:25:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773613409&player=shnateman,"2011-08-26 22:44:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773605228&player=shnateman,"2011-08-26 22:35:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=755002242&player=shnateman,"2011-08-13 23:03:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=754987320&player=shnateman,"2011-08-13 22:49:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
