Link,Date
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=823724109&player=shnateman,"10.11.2011 2:06AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=823721616&player=shnateman,"10.11.2011 1:50AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778910357&player=shnateman,"8.30.2011 6:37PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778884037&player=shnateman,"8.30.2011 6:19PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778869837&player=shnateman,"8.30.2011 6:10PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778851335&player=shnateman,"8.30.2011 5:58PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778833769&player=shnateman,"8.30.2011 5:46PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778800605&player=shnateman,"8.30.2011 5:24PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778791796&player=shnateman,"8.30.2011 5:18PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778775926&player=shnateman,"8.30.2011 5:07PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=778720453&player=shnateman,"8.30.2011 4:30PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773658508&player=shnateman,"8.26.2011 11:39PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773648355&player=shnateman,"8.26.2011 11:25PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773613409&player=shnateman,"8.26.2011 10:44PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=773605228&player=shnateman,"8.26.2011 10:35PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=755002242&player=shnateman,"8.13.2011 11:03PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=754987320&player=shnateman,"8.13.2011 10:49PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=748133874&player=shnateman,"8.09.2011 9:32PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=748108521&player=shnateman,"8.09.2011 9:14PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=748081136&player=shnateman,"8.09.2011 8:55PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=728037638&player=shnateman,"7.28.2011 9:53PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=728023247&player=shnateman,"7.28.2011 9:43PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727994957&player=shnateman,"7.28.2011 9:24PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727974983&player=shnateman,"7.28.2011 9:11PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727947772&player=shnateman,"7.28.2011 8:54PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727928726&player=shnateman,"7.28.2011 8:43PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727913086&player=shnateman,"7.28.2011 8:33PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726188404&player=shnateman,"7.27.2011 10:58PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726170145&player=shnateman,"7.27.2011 10:41PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726146551&player=shnateman,"7.27.2011 10:22PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726128968&player=shnateman,"7.27.2011 10:08PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726109827&player=shnateman,"7.27.2011 9:54PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726083370&player=shnateman,"7.27.2011 9:35PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691235137&player=shnateman,"7.07.2011 10:20PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691208667&player=shnateman,"7.07.2011 10:02PM"
